Follower Athlete ID,Follow Status,Created At
6032990,Accepted,"Feb 24, 2015, 8:06:55 PM"
8372864,Accepted,"Mar 27, 2015, 12:06:19 PM"
8596613,Accepted,"Apr 22, 2015, 12:03:02 PM"
3289301,Accepted,"Jun 10, 2015, 7:49:13 PM"
9999449,Accepted,"Jun 29, 2015, 10:25:00 PM"
7720837,Accepted,"Jul 28, 2015, 1:49:32 PM"
2782114,Accepted,"Sep 10, 2015, 12:03:24 AM"
11815541,Accepted,"Oct 18, 2015, 11:51:27 PM"
5973384,Accepted,"Oct 23, 2015, 1:54:23 PM"
12597840,Accepted,"Apr 2, 2016, 8:04:04 PM"
12572179,Accepted,"Apr 5, 2016, 10:30:47 PM"
2304241,Accepted,"May 17, 2016, 11:36:46 PM"
15269984,Accepted,"Jun 22, 2016, 1:50:30 AM"
16591967,Accepted,"Jul 28, 2016, 2:48:08 PM"
17219667,Accepted,"Aug 29, 2016, 1:50:32 AM"
17925957,Accepted,"Oct 7, 2016, 3:08:11 PM"
18552799,Accepted,"Nov 19, 2016, 8:23:40 PM"
4920672,Accepted,"Nov 23, 2016, 4:45:46 PM"
3023224,Accepted,"Dec 5, 2016, 8:30:55 PM"
11705620,Accepted,"Dec 22, 2016, 11:37:37 PM"
18982150,Accepted,"Dec 26, 2016, 4:49:28 PM"
15512142,Accepted,"Dec 28, 2016, 5:33:42 PM"
579088,Accepted,"Apr 15, 2017, 10:45:21 PM"
21295228,Accepted,"Apr 21, 2017, 5:01:38 AM"
21363340,Accepted,"Apr 23, 2017, 9:15:54 PM"
12258791,Accepted,"Jun 3, 2017, 5:59:54 PM"
16078970,Accepted,"Jun 27, 2017, 1:12:51 AM"
14503702,Accepted,"Jul 7, 2017, 11:23:42 AM"
8009716,Accepted,"Jul 11, 2017, 3:45:06 AM"
23489220,Accepted,"Jul 17, 2017, 7:55:02 PM"
4159750,Accepted,"Sep 4, 2017, 5:36:27 PM"
25437914,Accepted,"Oct 2, 2017, 9:50:54 PM"
25841451,Accepted,"Oct 23, 2017, 7:38:14 AM"
25864347,Accepted,"Oct 24, 2017, 1:02:49 PM"
24265905,Accepted,"Oct 26, 2017, 3:47:24 PM"
26662192,Accepted,"Jul 8, 2018, 12:43:21 AM"
33129128,Accepted,"Jul 26, 2018, 6:02:36 PM"
38086364,Accepted,"Feb 14, 2019, 5:08:23 PM"
10798474,Accepted,"Mar 9, 2019, 7:46:47 PM"
35340293,Accepted,"Mar 26, 2019, 10:21:15 PM"
30826984,Accepted,"May 4, 2019, 3:34:42 PM"
1731827,Accepted,"May 29, 2019, 11:04:17 PM"
39299546,Accepted,"Jun 25, 2019, 9:55:35 PM"
46337769,Accepted,"Sep 10, 2019, 2:56:12 AM"
48413735,Accepted,"Nov 20, 2019, 5:17:27 PM"
31012192,Accepted,"Dec 21, 2019, 6:09:30 PM"
569610,Accepted,"Mar 22, 2020, 12:01:15 AM"
45512152,Accepted,"Apr 5, 2020, 1:26:57 AM"
55083395,Accepted,"Apr 18, 2020, 4:40:29 PM"
63898735,Accepted,"Jul 16, 2020, 4:24:36 PM"
65889763,Accepted,"Aug 10, 2020, 9:07:06 AM"
47615394,Accepted,"Oct 13, 2020, 11:22:20 PM"
2669723,Accepted,"Oct 22, 2020, 12:20:19 AM"
36948296,Accepted,"Nov 5, 2020, 8:41:45 PM"
42906961,Accepted,"Nov 7, 2020, 1:14:56 PM"
27034283,Accepted,"Nov 14, 2020, 9:33:02 PM"
68448773,Accepted,"Dec 2, 2020, 10:07:59 PM"
64758128,Accepted,"Dec 3, 2020, 3:32:58 AM"
70937823,Accepted,"Dec 4, 2020, 10:02:39 PM"
2473114,Accepted,"Mar 7, 2021, 10:40:32 PM"
2265239,Accepted,"Apr 12, 2021, 11:40:33 PM"
83231292,Accepted,"May 14, 2021, 5:44:09 PM"
39083189,Accepted,"Jun 7, 2021, 1:36:59 AM"
4177318,Accepted,"Jul 25, 2021, 10:10:07 AM"
81677945,Accepted,"Nov 11, 2021, 4:24:36 PM"
93653225,Accepted,"Apr 6, 2022, 3:14:33 AM"
20550847,Accepted,"Jun 15, 2022, 10:04:34 AM"
7711774,Accepted,"Jun 22, 2022, 7:03:28 PM"
89610176,Accepted,"Jun 23, 2022, 7:01:50 AM"
6584567,Accepted,"Jul 11, 2022, 10:52:32 PM"
65985614,Accepted,"Apr 9, 2023, 7:49:18 PM"
