Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Dawn to Dusk,2469123525,41.911804,-70.584783,41.910941,-70.578681
Dusk to Dawn,2469123525,41.910932,-70.578691,41.911846,-70.584813
Orange'ya glad you followed?,2976484867,41.919153,-70.581451,41.919157,-70.581413
Orange'ya Glad #2,3242798321,41.917913,-70.585594,41.918055,-70.58422
Orange'ya Glad #2 Inverse,3200860844,41.918037,-70.58431,41.917869,-70.585644
Weave'A Roo,3167320301,41.915852,-70.599249,41.916237,-70.596305
Stay RIGHT all the way down,3338584541,41.927318,-70.591272,41.919685,-70.6011
Luigi Out'n'Back,3451150676,41.909918,-70.674146,41.910006,-70.674153
Luigi Out,3451150676,41.909918,-70.674146,41.891666,-70.671562
Luigi Back,3451150676,41.891635,-70.671586,41.910006,-70.674153
Brandon Gap 2 Middlebury Gap ,3983221559,43.839724,-72.968363,43.936996,-72.950226
Pine Tunnel,4804108934,41.921966,-70.590356,41.917617,-70.589141
